"Sample Date","Sample Time","Sensor Name","Sample Value"
"9/24/2012","12:25:21 PM","ISO AIR RH 2",23.681
"9/24/2012","12:25:21 PM","ISO AIR Temp 2",24.162
"9/24/2012","12:25:21 PM","ISOAIR + 2",5.000
"9/24/2012","12:25:59 PM","ISO AIR Temp 1",22.581
"9/24/2012","12:25:59 PM","ISO AIR RH 1",26.419
"9/24/2012","12:26:21 PM","ISO AIR RH 2",23.825
"9/24/2012","12:26:21 PM","ISO AIR Temp 2",24.096
"9/24/2012","12:26:21 PM","ISOAIR + 2",1.000
"9/24/2012","12:26:59 PM","ISO AIR Temp 1",22.499
"9/24/2012","12:26:59 PM","ISO AIR RH 1",26.625
"9/24/2012","12:27:21 PM","ISO AIR RH 2",23.694
"9/24/2012","12:27:21 PM","ISO AIR Temp 2",24.100
"9/24/2012","12:27:21 PM","ISOAIR + 2",1.000
"9/24/2012","12:27:59 PM","ISO AIR Temp 1",22.510
"9/24/2012","12:27:59 PM","ISO AIR RH 1",26.506
"9/24/2012","12:28:21 PM","ISO AIR RH 2",23.587
"9/24/2012","12:28:21 PM","ISO AIR Temp 2",24.194
"9/24/2012","12:28:21 PM","ISOAIR + 2",2.000
"9/24/2012","12:28:59 PM","ISO AIR Temp 1",22.506
"9/24/2012","12:28:59 PM","ISO AIR RH 1",26.319
"9/24/2012","12:29:21 PM","ISO AIR RH 2",23.581
"9/24/2012","12:29:21 PM","ISO AIR Temp 2",24.124
"9/24/2012","12:29:21 PM","ISOAIR + 2",2.000
"9/24/2012","12:29:59 PM","ISO AIR Temp 1",22.517
"9/24/2012","12:29:59 PM","ISO AIR RH 1",26.362
"9/24/2012","12:30:21 PM","ISO AIR RH 2",23.375
"9/24/2012","12:30:21 PM","ISO AIR Temp 2",24.173
"9/24/2012","12:30:21 PM","ISOAIR + 2",0.000
"9/24/2012","12:30:59 PM","ISO AIR Temp 1",22.532
"9/24/2012","12:30:59 PM","ISO AIR RH 1",26.413
"9/24/2012","12:31:21 PM","ISO AIR RH 2",23.456
"9/24/2012","12:31:21 PM","ISO AIR Temp 2",24.086
"9/24/2012","12:31:21 PM","ISOAIR + 2",1.000
"9/24/2012","12:31:59 PM","ISO AIR Temp 1",22.514
"9/24/2012","12:31:59 PM","ISO AIR RH 1",26.381
"9/24/2012","12:32:21 PM","ISO AIR RH 2",23.500
"9/24/2012","12:32:21 PM","ISO AIR Temp 2",24.030
"9/24/2012","12:32:21 PM","ISOAIR + 2",6.000
"9/24/2012","12:32:59 PM","ISO AIR Temp 1",22.577
"9/24/2012","12:32:59 PM","ISO AIR RH 1",26.337
"9/24/2012","12:33:21 PM","ISO AIR RH 2",23.494
"9/24/2012","12:33:21 PM","ISO AIR Temp 2",24.145
"9/24/2012","12:33:21 PM","ISOAIR + 2",4.000
"9/24/2012","12:33:59 PM","ISO AIR Temp 1",22.458
"9/24/2012","12:33:59 PM","ISO AIR RH 1",26.300
"9/24/2012","12:34:21 PM","ISO AIR RH 2",23.406
"9/24/2012","12:34:21 PM","ISO AIR Temp 2",23.996
"9/24/2012","12:34:21 PM","ISOAIR + 2",1.000
"9/24/2012","12:34:59 PM","ISO AIR Temp 1",22.540
"9/24/2012","12:34:59 PM","ISO AIR RH 1",26.244
"9/24/2012","12:35:21 PM","ISO AIR RH 2",23.563
"9/24/2012","12:35:21 PM","ISO AIR Temp 2",24.141
"9/24/2012","12:35:21 PM","ISOAIR + 2",5.000
"9/24/2012","12:35:59 PM","ISO AIR Temp 1",22.413
"9/24/2012","12:35:59 PM","ISO AIR RH 1",26.294
"9/24/2012","12:36:21 PM","ISO AIR RH 2",23.563
"9/24/2012","12:36:21 PM","ISO AIR Temp 2",24.051
"9/24/2012","12:36:21 PM","ISOAIR + 2",7.000
"9/24/2012","12:36:59 PM","ISO AIR Temp 1",22.495
"9/24/2012","12:36:59 PM","ISO AIR RH 1",26.263
"9/24/2012","12:37:21 PM","ISO AIR RH 2",23.487
"9/24/2012","12:37:21 PM","ISO AIR Temp 2",24.024
"9/24/2012","12:37:21 PM","ISOAIR + 2",4.000
"9/24/2012","12:37:59 PM","ISO AIR Temp 1",22.413
"9/24/2012","12:37:59 PM","ISO AIR RH 1",26.150
"9/24/2012","12:38:21 PM","ISO AIR RH 2",23.313
"9/24/2012","12:38:21 PM","ISO AIR Temp 2",24.287
"9/24/2012","12:38:21 PM","ISOAIR + 2",3.000
"9/24/2012","12:38:59 PM","ISO AIR Temp 1",22.480
"9/24/2012","12:38:59 PM","ISO AIR RH 1",26.194
"9/24/2012","12:39:21 PM","ISO AIR RH 2",23.413
"9/24/2012","12:39:21 PM","ISO AIR Temp 2",24.128
"9/24/2012","12:39:21 PM","ISOAIR + 2",2.000
"9/24/2012","12:39:59 PM","ISO AIR Temp 1",22.427
"9/24/2012","12:39:59 PM","ISO AIR RH 1",26.063
"9/24/2012","12:40:21 PM","ISO AIR RH 2",23.275
"9/24/2012","12:40:21 PM","ISO AIR Temp 2",24.131
"9/24/2012","12:40:21 PM","ISOAIR + 2",5.000
"9/24/2012","12:40:59 PM","ISO AIR Temp 1",22.503
"9/24/2012","12:40:59 PM","ISO AIR RH 1",26.206
"9/24/2012","12:41:21 PM","ISO AIR RH 2",23.319
"9/24/2012","12:41:21 PM","ISO AIR Temp 2",24.131
"9/24/2012","12:41:21 PM","ISOAIR + 2",4.000
"9/24/2012","12:41:59 PM","ISO AIR Temp 1",22.458
"9/24/2012","12:41:59 PM","ISO AIR RH 1",26.250
"9/24/2012","12:42:21 PM","ISO AIR RH 2",23.212
"9/24/2012","12:42:21 PM","ISO AIR Temp 2",24.110
"9/24/2012","12:42:21 PM","ISOAIR + 2",1.000
"9/24/2012","12:42:59 PM","ISO AIR Temp 1",22.495
"9/24/2012","12:42:59 PM","ISO AIR RH 1",26.069
"9/24/2012","12:43:21 PM","ISO AIR RH 2",23.388
"9/24/2012","12:43:21 PM","ISO AIR Temp 2",24.072
"9/24/2012","12:43:21 PM","ISOAIR + 2",3.000
"9/24/2012","12:43:59 PM","ISO AIR Temp 1",22.532
"9/24/2012","12:43:59 PM","ISO AIR RH 1",26.237
"9/24/2012","12:44:21 PM","ISO AIR RH 2",23.337
"9/24/2012","12:44:21 PM","ISO AIR Temp 2",24.089
"9/24/2012","12:44:21 PM","ISOAIR + 2",4.000
"9/24/2012","12:44:59 PM","ISO AIR Temp 1",22.525
"9/24/2012","12:44:59 PM","ISO AIR RH 1",25.987
"9/24/2012","12:45:21 PM","ISO AIR RH 2",23.425
"9/24/2012","12:45:21 PM","ISO AIR Temp 2",24.089
"9/24/2012","12:45:21 PM","ISOAIR + 2",6.000
"9/24/2012","12:45:59 PM","ISO AIR Temp 1",22.469
"9/24/2012","12:45:59 PM","ISO AIR RH 1",26.106
"9/24/2012","12:46:21 PM","ISO AIR RH 2",23.500
"9/24/2012","12:46:21 PM","ISO AIR Temp 2",24.017
"9/24/2012","12:46:21 PM","ISOAIR + 2",7.000
"9/24/2012","12:46:59 PM","ISO AIR Temp 1",22.476
"9/24/2012","12:46:59 PM","ISO AIR RH 1",26.050
"9/24/2012","12:47:21 PM","ISO AIR RH 2",23.388
"9/24/2012","12:47:21 PM","ISO AIR Temp 2",24.065
"9/24/2012","12:47:21 PM","ISOAIR + 2",5.000
"9/24/2012","12:47:59 PM","ISO AIR Temp 1",22.506
"9/24/2012","12:47:59 PM","ISO AIR RH 1",26.056
"9/24/2012","12:48:21 PM","ISO AIR RH 2",23.244
"9/24/2012","12:48:21 PM","ISO AIR Temp 2",24.114
"9/24/2012","12:48:21 PM","ISOAIR + 2",2.000
"9/24/2012","12:48:59 PM","ISO AIR Temp 1",22.532
"9/24/2012","12:48:59 PM","ISO AIR RH 1",25.975
"9/24/2012","12:49:21 PM","ISO AIR RH 2",23.244
"9/24/2012","12:49:21 PM","ISO AIR Temp 2",24.065
"9/24/2012","12:49:21 PM","ISOAIR + 2",0.000
"9/24/2012","12:49:59 PM","ISO AIR Temp 1",22.469
"9/24/2012","12:49:59 PM","ISO AIR RH 1",25.938
"9/24/2012","12:50:21 PM","ISO AIR RH 2",23.131
"9/24/2012","12:50:21 PM","ISO AIR Temp 2",24.069
"9/24/2012","12:50:21 PM","ISOAIR + 2",4.000
"9/24/2012","12:50:59 PM","ISO AIR Temp 1",22.536
"9/24/2012","12:50:59 PM","ISO AIR RH 1",26.081
"9/24/2012","12:51:21 PM","ISO AIR RH 2",23.450
"9/24/2012","12:51:21 PM","ISO AIR Temp 2",24.030
"9/24/2012","12:51:21 PM","ISOAIR + 2",5.000
"9/24/2012","12:51:59 PM","ISO AIR Temp 1",22.555
"9/24/2012","12:51:59 PM","ISO AIR RH 1",26.038
"9/24/2012","12:52:21 PM","ISO AIR RH 2",23.500
"9/24/2012","12:52:21 PM","ISO AIR Temp 2",24.027
"9/24/2012","12:52:21 PM","ISOAIR + 2",5.000
"9/24/2012","12:52:59 PM","ISO AIR Temp 1",22.514
"9/24/2012","12:52:59 PM","ISO AIR RH 1",26.000
"9/24/2012","12:53:21 PM","ISO AIR RH 2",23.256
"9/24/2012","12:53:21 PM","ISO AIR Temp 2",24.082
"9/24/2012","12:53:21 PM","ISOAIR + 2",3.000
"9/24/2012","12:53:59 PM","ISO AIR Temp 1",22.622
"9/24/2012","12:53:59 PM","ISO AIR RH 1",26.013
"9/24/2012","12:54:21 PM","ISO AIR RH 2",23.456
"9/24/2012","12:54:21 PM","ISO AIR Temp 2",24.062
"9/24/2012","12:54:21 PM","ISOAIR + 2",3.000
"9/24/2012","12:54:59 PM","ISO AIR Temp 1",22.491
"9/24/2012","12:54:59 PM","ISO AIR RH 1",25.825
"9/24/2012","12:55:21 PM","ISO AIR RH 2",23.350
"9/24/2012","12:55:21 PM","ISO AIR Temp 2",24.065
"9/24/2012","12:55:21 PM","ISOAIR + 2",2.000
"9/24/2012","12:55:59 PM","ISO AIR Temp 1",22.596
"9/24/2012","12:55:59 PM","ISO AIR RH 1",25.888
"9/24/2012","12:56:21 PM","ISO AIR RH 2",23.331
"9/24/2012","12:56:21 PM","ISO AIR Temp 2",23.965
"9/24/2012","12:56:21 PM","ISOAIR + 2",0.000
"9/24/2012","12:56:59 PM","ISO AIR Temp 1",22.510
"9/24/2012","12:56:59 PM","ISO AIR RH 1",25.981
"9/24/2012","12:57:21 PM","ISO AIR RH 2",23.394
"9/24/2012","12:57:21 PM","ISO AIR Temp 2",23.954
"9/24/2012","12:57:21 PM","ISOAIR + 2",3.000
"9/24/2012","12:57:59 PM","ISO AIR Temp 1",22.472
"9/24/2012","12:57:59 PM","ISO AIR RH 1",25.862
"9/24/2012","12:58:21 PM","ISO AIR RH 2",23.362
"9/24/2012","12:58:21 PM","ISO AIR Temp 2",23.961
"9/24/2012","12:58:21 PM","ISOAIR + 2",1.000
"9/24/2012","12:58:59 PM","ISO AIR Temp 1",22.487
"9/24/2012","12:58:59 PM","ISO AIR RH 1",25.769
"9/24/2012","12:59:21 PM","ISO AIR RH 2",23.413
"9/24/2012","12:59:21 PM","ISO AIR Temp 2",23.833
"9/24/2012","12:59:21 PM","ISOAIR + 2",3.000
"9/24/2012","12:59:59 PM","ISO AIR Temp 1",22.409
"9/24/2012","12:59:59 PM","ISO AIR RH 1",25.987
"9/24/2012","1:00:21 PM","ISO AIR RH 2",23.219
"9/24/2012","1:00:21 PM","ISO AIR Temp 2",23.923
"9/24/2012","1:00:21 PM","ISOAIR + 2",2.000
"9/24/2012","1:00:59 PM","ISO AIR Temp 1",22.484
"9/24/2012","1:00:59 PM","ISO AIR RH 1",25.869
"9/24/2012","1:01:21 PM","ISO AIR RH 2",23.275
"9/24/2012","1:01:21 PM","ISO AIR Temp 2",23.940
"9/24/2012","1:01:21 PM","ISOAIR + 2",5.000
"9/24/2012","1:01:59 PM","ISO AIR Temp 1",22.480
"9/24/2012","1:01:59 PM","ISO AIR RH 1",26.000
"9/24/2012","1:02:21 PM","ISO AIR RH 2",23.388
"9/24/2012","1:02:21 PM","ISO AIR Temp 2",23.968
"9/24/2012","1:02:21 PM","ISOAIR + 2",4.000
"9/24/2012","1:02:59 PM","ISO AIR Temp 1",22.458
"9/24/2012","1:02:59 PM","ISO AIR RH 1",25.850
"9/24/2012","1:03:21 PM","ISO AIR RH 2",23.431
"9/24/2012","1:03:21 PM","ISO AIR Temp 2",23.954
"9/24/2012","1:03:21 PM","ISOAIR + 2",6.000
"9/24/2012","1:03:59 PM","ISO AIR Temp 1",22.525
"9/24/2012","1:03:59 PM","ISO AIR RH 1",25.900
"9/24/2012","1:04:21 PM","ISO AIR RH 2",23.469
"9/24/2012","1:04:21 PM","ISO AIR Temp 2",23.923
"9/24/2012","1:04:21 PM","ISOAIR + 2",6.000
"9/24/2012","1:04:59 PM","ISO AIR Temp 1",22.480
"9/24/2012","1:04:59 PM","ISO AIR RH 1",25.800
"9/24/2012","1:05:21 PM","ISO AIR RH 2",23.481
"9/24/2012","1:05:21 PM","ISO AIR Temp 2",23.954
"9/24/2012","1:05:21 PM","ISOAIR + 2",4.000
"9/24/2012","1:05:59 PM","ISO AIR Temp 1",22.499
"9/24/2012","1:05:59 PM","ISO AIR RH 1",25.862
"9/24/2012","1:06:21 PM","ISO AIR RH 2",23.419
"9/24/2012","1:06:21 PM","ISO AIR Temp 2",23.933
"9/24/2012","1:06:21 PM","ISOAIR + 2",0.000
"9/24/2012","1:06:59 PM","ISO AIR Temp 1",22.521
"9/24/2012","1:06:59 PM","ISO AIR RH 1",25.763
"9/24/2012","1:07:21 PM","ISO AIR RH 2",23.325
"9/24/2012","1:07:21 PM","ISO AIR Temp 2",24.034
"9/24/2012","1:07:21 PM","ISOAIR + 2",4.000
"9/24/2012","1:07:59 PM","ISO AIR Temp 1",22.510
"9/24/2012","1:07:59 PM","ISO AIR RH 1",25.862
"9/24/2012","1:08:21 PM","ISO AIR RH 2",23.337
"9/24/2012","1:08:21 PM","ISO AIR Temp 2",24.055
"9/24/2012","1:08:21 PM","ISOAIR + 2",8.000
"9/24/2012","1:08:59 PM","ISO AIR Temp 1",22.525
"9/24/2012","1:08:59 PM","ISO AIR RH 1",25.819
"9/24/2012","1:09:21 PM","ISO AIR RH 2",23.244
"9/24/2012","1:09:21 PM","ISO AIR Temp 2",24.103
"9/24/2012","1:09:21 PM","ISOAIR + 2",3.000
"9/24/2012","1:09:59 PM","ISO AIR Temp 1",22.487
"9/24/2012","1:09:59 PM","ISO AIR RH 1",25.813
"9/24/2012","1:10:21 PM","ISO AIR RH 2",22.869
"9/24/2012","1:10:21 PM","ISO AIR Temp 2",24.155
"9/24/2012","1:10:21 PM","ISOAIR + 2",6.000
"9/24/2012","1:10:59 PM","ISO AIR Temp 1",22.495
"9/24/2012","1:10:59 PM","ISO AIR RH 1",25.856
"9/24/2012","1:11:21 PM","ISO AIR RH 2",23.006
"9/24/2012","1:11:21 PM","ISO AIR Temp 2",24.103
"9/24/2012","1:11:21 PM","ISOAIR + 2",4.000
"9/24/2012","1:11:59 PM","ISO AIR Temp 1",22.532
"9/24/2012","1:11:59 PM","ISO AIR RH 1",25.825
"9/24/2012","1:12:21 PM","ISO AIR RH 2",23.006
"9/24/2012","1:12:21 PM","ISO AIR Temp 2",23.940
"9/24/2012","1:12:21 PM","ISOAIR + 2",2.000
"9/24/2012","1:12:59 PM","ISO AIR Temp 1",22.476
"9/24/2012","1:12:59 PM","ISO AIR RH 1",25.781
"9/24/2012","1:13:21 PM","ISO AIR RH 2",23.025
"9/24/2012","1:13:21 PM","ISO AIR Temp 2",23.982
"9/24/2012","1:13:21 PM","ISOAIR + 2",14.000
"9/24/2012","1:13:59 PM","ISO AIR Temp 1",22.548
"9/24/2012","1:13:59 PM","ISO AIR RH 1",25.800
"9/24/2012","1:14:21 PM","ISO AIR RH 2",22.994
"9/24/2012","1:14:21 PM","ISO AIR Temp 2",24.100
"9/24/2012","1:14:21 PM","ISOAIR + 2",2.000
"9/24/2012","1:14:59 PM","ISO AIR Temp 1",22.566
"9/24/2012","1:14:59 PM","ISO AIR RH 1",25.769
"9/24/2012","1:15:21 PM","ISO AIR RH 2",22.944
"9/24/2012","1:15:21 PM","ISO AIR Temp 2",24.117
"9/24/2012","1:15:21 PM","ISOAIR + 2",1.000
"9/24/2012","1:15:59 PM","ISO AIR Temp 1",22.487
"9/24/2012","1:15:59 PM","ISO AIR RH 1",25.775
"9/24/2012","1:16:21 PM","ISO AIR RH 2",22.975
"9/24/2012","1:16:21 PM","ISO AIR Temp 2",24.100
"9/24/2012","1:16:21 PM","ISOAIR + 2",5.000
"9/24/2012","1:16:59 PM","ISO AIR Temp 1",22.476
"9/24/2012","1:16:59 PM","ISO AIR RH 1",25.894
"9/24/2012","1:17:21 PM","ISO AIR RH 2",23.056
"9/24/2012","1:17:21 PM","ISO AIR Temp 2",24.044
"9/24/2012","1:17:21 PM","ISOAIR + 2",6.000
"9/24/2012","1:17:59 PM","ISO AIR Temp 1",22.454
"9/24/2012","1:17:59 PM","ISO AIR RH 1",25.919
"9/24/2012","1:18:21 PM","ISO AIR RH 2",23.306
"9/24/2012","1:18:21 PM","ISO AIR Temp 2",23.996
"9/24/2012","1:18:21 PM","ISOAIR + 2",1.000
"9/24/2012","1:18:59 PM","ISO AIR Temp 1",22.499
"9/24/2012","1:18:59 PM","ISO AIR RH 1",25.869
"9/24/2012","1:19:21 PM","ISO AIR RH 2",23.275
"9/24/2012","1:19:21 PM","ISO AIR Temp 2",24.027
"9/24/2012","1:19:21 PM","ISOAIR + 2",2.000
"9/24/2012","1:19:59 PM","ISO AIR Temp 1",22.517
"9/24/2012","1:19:59 PM","ISO AIR RH 1",25.756
"9/24/2012","1:20:21 PM","ISO AIR RH 2",23.150
"9/24/2012","1:20:21 PM","ISO AIR Temp 2",24.055
"9/24/2012","1:20:21 PM","ISOAIR + 2",8.000
"9/24/2012","1:20:59 PM","ISO AIR Temp 1",22.540
"9/24/2012","1:20:59 PM","ISO AIR RH 1",25.788
"9/24/2012","1:21:21 PM","ISO AIR RH 2",23.063
"9/24/2012","1:21:21 PM","ISO AIR Temp 2",24.103
"9/24/2012","1:21:21 PM","ISOAIR + 2",11.000
"9/24/2012","1:21:59 PM","ISO AIR Temp 1",22.506
"9/24/2012","1:21:59 PM","ISO AIR RH 1",25.800
"9/24/2012","1:22:21 PM","ISO AIR RH 2",22.981
"9/24/2012","1:22:21 PM","ISO AIR Temp 2",24.093
"9/24/2012","1:22:21 PM","ISOAIR + 2",2.000
"9/24/2012","1:22:59 PM","ISO AIR Temp 1",22.589
"9/24/2012","1:22:59 PM","ISO AIR RH 1",25.744
"9/24/2012","1:23:21 PM","ISO AIR RH 2",23.000
"9/24/2012","1:23:21 PM","ISO AIR Temp 2",24.173
"9/24/2012","1:23:21 PM","ISOAIR + 2",8.000
"9/24/2012","1:23:59 PM","ISO AIR Temp 1",22.517
"9/24/2012","1:23:59 PM","ISO AIR RH 1",25.769
"9/24/2012","1:24:21 PM","ISO AIR RH 2",23.031
"9/24/2012","1:24:21 PM","ISO AIR Temp 2",24.280
"9/24/2012","1:24:21 PM","ISOAIR + 2",5.000
"9/24/2012","1:24:59 PM","ISO AIR Temp 1",22.529
"9/24/2012","1:24:59 PM","ISO AIR RH 1",25.844
"9/24/2012","1:25:21 PM","ISO AIR RH 2",23.056
"9/24/2012","1:25:21 PM","ISO AIR Temp 2",24.152
"9/24/2012","1:25:21 PM","ISOAIR + 2",1.000
"9/24/2012","1:25:59 PM","ISO AIR Temp 1",22.577
"9/24/2012","1:25:59 PM","ISO AIR RH 1",25.837
"9/24/2012","1:26:21 PM","ISO AIR RH 2",22.837
"9/24/2012","1:26:21 PM","ISO AIR Temp 2",24.152
"9/24/2012","1:26:21 PM","ISOAIR + 2",4.000
